Name,Color,In,Out
DELETE: 8 sec - Outro fluff,Red,01:31:39:10,01:31:47:14
DELETE: 5 sec - Transition,Red,01:31:27:03,01:31:32:03
DELETE: 13 sec - Perplexity usage detail,Red,01:31:14:06,01:31:27:03
DELETE: 23 sec - Comment section appeal,Red,01:30:51:03,01:31:14:06
DELETE: 11 sec - Filler,Red,01:30:40:03,01:30:51:03
DELETE: 3 sec - Pause,Red,01:30:18:05,01:30:21:19
DELETE: 7 sec - Building in public mention,Red,01:30:11:13,01:30:18:05
DELETE: 7 sec - Transition,Red,01:30:04:21,01:30:11:13
DELETE: 5 sec - Pause,Red,01:29:51:21,01:29:56:26
DELETE: 5 sec - Pause,Red,01:29:40:15,01:29:45:04
DELETE: 7 sec - Courses mention,Red,01:29:19:19,01:29:26:08
DELETE: 8 sec - Building courses,Red,01:29:11:26,01:29:19:19
DELETE: 4 sec - Subscribe CTA,Red,01:29:07:23,01:29:11:26
DELETE: 7 sec - Pause,Red,01:29:01:03,01:29:07:23
DELETE: 3 sec - Pause,Red,01:28:42:26,01:28:45:28
DELETE: 2 sec - Pause,Red,01:28:29:26,01:28:32:07
DELETE: 4 sec - Use both together,Red,01:28:25:11,01:28:29:26
DELETE: 4 sec - Pause,Red,01:28:21:09,01:28:25:11
DELETE: 8 sec - Pause,Red,01:28:03:21,01:28:11:08
DELETE: 6 sec - Pause,Red,01:27:51:11,01:27:56:29
DELETE: 8 sec - Pause,Red,01:27:25:14,01:27:33:07
DELETE: 5 sec - High energy needed,Red,01:27:09:28,01:27:14:16
DELETE: 1 sec - Pause,Red,01:26:53:08,01:26:54:09
DELETE: 10 sec - Unknown/known philosophy,Red,01:26:29:08,01:26:39:09
DELETE: 6 sec - Unknown/known both good,Red,01:26:14:08,01:26:20:17
DELETE: 5 sec - Pause,Red,01:26:09:04,01:26:14:08
DELETE: 10 sec - Pause,Red,01:25:44:23,01:25:54:03
DELETE: 1 sec - Pause,Red,01:25:37:08,01:25:38:09
DELETE: 5 sec - Changing with AI,Red,01:25:16:11,01:25:21:25
DELETE: 5 sec - Pause,Red,01:25:11:11,01:25:16:11
DELETE: 3 sec - AI wave coming,Red,01:25:08:01,01:25:11:11
DELETE: 4 sec - Pause,Red,01:24:45:11,01:24:49:17
DELETE: 24 sec - Value prop details,Red,01:24:21:19,01:24:45:11
DELETE: 4 sec - Medium is message,Red,01:24:17:11,01:24:21:19
DELETE: 9 sec - YouTube wider market,Red,01:24:08:29,01:24:17:11
DELETE: 4 sec - Confusing markets admission,Red,01:23:49:29,01:23:53:28
DELETE: 19 sec - Multiple markets confusion,Red,01:23:30:20,01:23:49:29
DELETE: 4 sec - Git repo share mention,Red,01:23:26:14,01:23:30:20
DELETE: 5 sec - Pause,Red,01:23:02:00,01:23:06:26
DELETE: 5 sec - Testing thumbnails,Red,01:22:56:20,01:23:02:00
DELETE: 3 sec - Pause,Red,01:22:33:02,01:22:36:13
DELETE: 20 sec - Course building details,Red,01:22:13:14,01:22:33:02
DELETE: 1 sec - Pause,Red,01:21:59:28,01:22:00:18
DELETE: 4 sec - Pause,Red,01:21:56:08,01:21:59:28
DELETE: 4 sec - Pause/silence,Red,01:21:42:23,01:21:46:29
